user_id,city,rating,date,comment
酵母菌先生,四川成都,很差,2019-06-28,"看了12集。
然后翻了翻影评。
我的妈呀四字粉评控做的很全面啊，连服化道的细节都抠出来了
但这跟四字本人没气场演技烂有关系吗？
作为看过原著的观众，这部戏做到了一个神奇的效果，
那就是看过原著的观众，和没看过原著的观众，
都没法入戏。

说服化道细节牛逼的，
来来来，，
你们知道高岭土烧到1200℃才会变成瓷器吗？
你们知道我们国家直到宋朝，
才有标准意义上的瓷器吗？
那靖安司指定饮品为什么是瓷器装的啊？"
[已注销],,很差,2019-06-28,美四的台词太绝了
shininglove,北京,较差,2019-06-28,和《海上牧云记》制作基本持平，服化道烧钱堆砌，过度追求形式感，戏核缺乏打磨，听一句台词，看一眼剪辑点，就知道手艺没吃透，勉强糊弄不看美剧的观众。
徐若风,浙江杭州,推荐,2019-06-27,与传统的古装剧在气质上有很大差别，不仅杂糅了诸多类型元素，而且设置了“十二时辰”的时间限制与“长安”的空间限制，每集片头都提示时间，由此凸显出了剧集的核心概念。雷佳音饰演的死囚张小敬、易烊千玺饰演的少年李泌构成了双男主叙事，紧凑的结构与有趣的人物关系也随之展开，节奏快、细节制作精良。目前看来，值得持续观望。
弋痕夕,广东深圳,推荐,2019-06-27,和书一样行云流水的节奏，配角在前几集挨个登场，但完全不慌乱。谜团一环扣一环引人入胜，近几年最好的大唐文化剧。
Litte bai,北京,力荐,2019-06-27,"等了好久终于等到今天，真的是官微所说“佳”期已至，欣“玺”开播了！在喜马拉雅上听了二十多集的广播剧今天看到正片感觉很不错！早就听说剧组对服饰和一些礼节很考究，今天一看，果然服装道具置景都好精细，打光和画质也很高级了！一点不出戏，令人惊喜的是四字弟弟，真的有种少年老成运筹帷幄的气质，台词功力也不错，铿锵有力有起伏顿挫！对待老师和对待张小敬的不同态度把握的也特别好～我要追下去了！！
看完了  这个分可以再高一点"
死亡幻境,,很差,2019-06-28,尴尬的剧情
丸子酱,上海,力荐,2019-06-27,他来了他来了，千玺弟弟他来了
⛔️,上海,很差,2019-06-28,四字台词也太差了，跟雷佳音这种实力派对戏，台词，演技都被碾压的渣渣都不剩
我爱罗宾,北京,推荐,2019-06-27,震惊，这个品质不输美剧啊。从镜头感到剧情张力都甩开市面上大部分作品几条街，细节处十分用心，年代感的台词，历史道具的还原代入感特别好。两个主角表现优秀，感叹四字弟弟的可塑性真强，期待看到他大银幕的作品
卡夹,江苏南通,很差,2019-06-28,讨厌易烊千玺
豆包君,北京,推荐,2019-06-27,从去年拖到今年，本来以为我的期待值会被消磨掉，但看了片子，真的很惊喜。四字弟弟的眼神在线，节奏在线。
ECHOT,辽宁大连,很差,2019-06-28,希望越大失望越大，一口气看了四五集，不知所云，画面很美，只不过给B站剪辑手提供了很多空境素材，根本不会讲故事，讲不好故事台词真的罗里吧嗦有的人让人出戏，雷佳音还可以但也没达到预期，画面再好有什么用，故事还是烂故事，浪费了好本子，这个本子拍电影就足够抓人心，非要罗里吧嗦讲长篇注水
阿罗,,较差,2019-06-28,不会继续了，太丑了。
咕叽咕叽,湖北武汉,较差,2019-06-27,太太太太太太过于装逼了，剧情完全没重点。无聊死了
少年派,"Paris, France",很差,2019-06-28,台词太差了，完全没有起伏，出戏
月浅思念深,北京,很差,2019-06-28,不喜欢
掉线,北京,推荐,2019-06-27,摄影太赞了，构图和色调真的是如盛唐画卷一般，无论是细节还是大场面都看得出背后制作的用心和规模。故事时间限定在十二时辰当中，快节奏的剧情让人很有追下去的欲望，第一集便用案件架设了悬念。易烊千玺和雷佳音的表演也都不错，这个剧真的很可！
蓝悦,上海,较差,2019-06-27,一群老戏骨陪着一个小孩玩儿，还是没法把小孩的台词念好，这没有感情的咬文嚼字听得人昏昏欲睡
麦兜麦兜,河北唐山,力荐,2019-06-28,昨天开播就迫不及待打开电脑开了  毕竟等了很久的电视！电影质感的画面，没看过小说的人估计看不懂，雷佳音演的不良帅还是有演技的，一口气看了6集  今天继续约起来！！！
念想,,力荐,2019-06-28,本着“饭圈思维”的丑恶嘴脸的这种人我觉得也不配看这种剧 恐怕是也看不懂吧 我只能说贺知章告老还乡和小乙那里真的打动我。 惭愧的是我是文科生，历史却不好，看了这个我真的想好好了解我们五千年文明历史。各位黑粉真的幸苦了。
二十二岛主,,推荐,2019-06-27,今天这部剧突然开播算是近期为数不多的好消息，也算是弥补了本该在今天上映的一部电影的空白。和预期完全不同，很久没有看到唐文化如此考究的古装剧，台词、布景、故事都完全史实向，唐服、鬓发、官职、称谓、风土人情，看得出来是下了很大的前期准备功夫。上次看到这样的剧好像还是《贞观之治》。从电影质感角度来说，最惊艳的是几个长镜头，看来导演是按照电影的拍法和节奏来拍这部剧。雷佳音韩童生等戏骨的表现自不用多提，许久未见的千玺表演也更加成熟了，值得继续观望。
白竹,浙江宁波,推荐,2019-06-27,看过了飞鱼服绣春刀裴纶的聪明圆滑，再到狠厉霸气的五尊阎罗张小敬，没有一点出戏的感觉，厉害了！
豆瓣九组,北京,很差,2019-06-28,没什么演技
冬末夏初,,力荐,2019-06-29,本来是想给4星的，看到这么多一星就很奇怪，这不是个一星的剧。不管是不是粉丝，客观点是对自己好。多给一星，一半给鼓励，一半给幻想的长安城
风舒云卷的天空,,很差,2019-07-19,我不喜欢
时擦,"Kābol, Afghanistan",推荐,2019-06-27,古装剧标杆，短剧集强冲突的盛世长安冒险，质感太棒了！一面是上元佳节的繁华气氛，一面是危机丛生的阴谋诡谲。看了几集，满是匠心，国产剧能够真正做成华剧，指日可待。
把噗,北京,推荐,2019-06-27,年度第一良心国产古装剧。开头几段长镜头极尽影像美学，调色和构图很有电影质感。场景、道具、服装……十分考究，还原了一个盛极而衰的大唐长安。雷佳音的表演有意想不到的反差，千玺弟弟真的可以，演技到位，惊喜之上。
11点喊我睡觉,浙江杭州,力荐,2019-06-27,期待已久的剧终于播了！刚看完两集，来说下感受。曹盾不愧是干摄影出身的，网剧拍出了电影的质感，道具一点儿都没敷衍，色调也很舒服高级。雷佳音演技真的牛逼，不光是台词，他的很多细节处理，都相当不错。易烊千玺挺让我惊喜的，没想到他台词这么稳，形象也很符合，接着追剧啦！（后期如果剧情崩了会改分哦）
阿梨呀,北京,很差,2019-06-28,？？？？？丑
刘十九,北京,推荐,2019-06-27,这个大唐还原的真的可以，爱了，剧质感也很好，等得值得！
小融资,,很差,2019-06-27,台词尴尬表情僵硬
嘟嘟熊之父,北京,推荐,2019-06-27,第三集渐入佳境，调度行云流水，剪辑声东击西。巨大的台词信息量注定了它的观赏门槛，遗憾还未看到人物，可继续追。
大屯路的劳伦斯,内蒙古鄂尔多斯,力荐,2019-06-28,先不说一口气更新12集这样的良心举动，古装+反恐+破案+官斗有一个全新的故事质感，镜头、服化也都秉承了曹盾一贯的精致大气。选角的上，易烊千玺和角色的气质很合，雷佳音也没有搞笑的光环，特别要提一下演鱼肠的李媛，造型实在是太帅气了。
万寿路拓海,北京,力荐,2019-06-29,本来就想给五星。看到诸多无脑黑，更要给高分！无数细节把控还原一个真实的大唐（比如开篇镜头中长安的“明渠”等等）；且单说片中女性正正经经的唐妆，其真实性就超越了无数唐代题材的影视作品。更别说电影般的光影质感，和颇具代入感的长镜头拍摄。在摄影水平过硬的情况下剧本和演员也并不逊色，惊喜看到了辉叔！不可否认，台词上确实有许多对观众不友善之处，在商业作品的背景下显得太刻意追求还原时代特色了，不过瑕不掩瑜，好作品，值得高分！再提一下无脑黑们，比如什么“一看到雷佳音就想起前夫哥”然后就能给出两星也是够了。评分、语言，都是是观众手中的刃，别让你的“一时痛快”抹杀了创作者的努力。有脑评分，和谐观剧～
